PM 1.0,PM 2.5,PM 10,temperature,gas,relative humidity,pressure,altitude,time
0,0,0,29.72140625,59938,1013.3529281128259,-0.8569116700740365,67.00053406503903,1676508649.1488068
0,0,0,30.1317578125,55417,1013.3489312166182,-0.8236374601692664,68.85460173154229,1676508650.3415382
0,0,0,30.277265625,60283,1013.3478466954947,-0.8146087902037458,70.75842245417766,1676508651.5344806
0,0,0,30.3440625,61704,1013.3532676071248,-0.8597379593714805,71.70483593747406,1676508652.728126
0,0,0,30.3630078125,62580,1013.3566091181132,-0.8875559901874763,72.13761834091711,1676508653.9214897
0,0,0,30.303828125,62208,1013.4101448356337,-1.3332299397861758,71.84084680215229,1676508655.1154962
0,0,0,30.1637890625,66985,1013.3919916410439,-1.1821104266020943,68.31708818196567,1676508656.3091118
0,0,0,30.103046875,71748,1013.3735848534108,-1.0288775947337592,63.225901416238294,1676508657.5018637
0,0,0,30.057734375,75636,1013.3579611239279,-0.8988113980020906,57.44665169389995,1676508658.6946669
0,0,0,30.01359375,78692,1013.3549479205924,-0.8737265540558581,51.66835838427873,1676508659.8872051
0,0,0,29.97375,81131,1013.3449312307139,-0.7903374221215742,46.580290453712124,1676508661.0797257
0,0,0,29.9356640625,83476,1013.3378569769525,-0.7314437241726002,42.24279712904567,1676508662.2785852
0,0,0,29.89328125,85961,1013.3271195704219,-0.6420533660588568,38.66905220302924,1676508663.470921
0,0,0,29.84875,87947,1013.3216461300948,-0.5964859417202861,35.579790324577395,1676508664.6632931
0,0,0,29.7997265625,90027,1013.3139529904839,-0.5324387647439366,32.89269312399107,1676508665.8558357
0,0,0,29.7520703125,91602,1013.3138677278818,-0.5317289315346851,30.590104184164616,1676508667.048506
0,0,0,29.7051953125,92820,1013.3097593236489,-0.4975253469221941,28.718056079294833,1676508668.240904
0,0,0,29.655,94390,1013.3071682782402,-0.47595413021068067,27.11554662151318,1676508669.4332337
0,0,0,29.6040234375,93575,1013.3050296023887,-0.4581489897398461,25.713575094846686,1676508670.6255274
0,0,0,29.5536328125,94740,1013.2967662242169,-0.38935351497001003,24.50112499740942,1676508671.8181546
0,0,0,29.501484375,96044,1013.287316834291,-0.3106835263512542,23.46780061588045,1676508673.010709
