Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Temperature (C)
1681946421.2600226,37.875285,-122.259303,1.0,25.555390625
1681946428.0344079,37.875283,-122.259288,1.0,25.566914062499997
1681946434.9026237,37.875325,-122.259238,1.0,25.58986328125
1681946441.6189713,37.875338,-122.259188,1.0,25.5923046875
1681946448.672366,37.875348,-122.259135,1.0,25.5817578125
1681946455.5875628,37.875381,-122.259048,1.0,25.64376953125
1681946462.4508252,37.875386,-122.259035,1.0,25.71349609375
1681946469.393704,37.87539,-122.259023,1.0,25.837910156249997
1681946476.2048378,37.875393,-122.259015,1.0,25.91427734375
1681946483.110132,37.875393,-122.25901,1.0,25.924335937499997
