Epoch time,Latitude,Longitude,Pressure (Pa),Radiation (cps)
1682790358.85938,37.886118,-122.25293,248.171792642654,32.8
1682790370.980862,37.886201,-122.25305,252.9434417527636,38.0
1682790382.781106,37.886338,-122.252766,255.55075075362853,35.8
1682790394.9764838,37.885988,-122.252535,258.3817352812839,50.0
1682790406.8565645,37.88682,-122.252786,260.2335307771849,42.6
1682790419.5174322,37.88682,-122.252786,260.3735072097868,40.0
1682790431.5654516,37.887571,-122.253463,260.2528478092603,37.6
1682790443.8711083,37.887693,-122.253471,261.2312557498911,31.2
1682790455.7998471,37.887693,-122.253471,264.12334222192743,29.2
1682790467.976938,37.887321,-122.252799,265.1304080121678,30.4
1682790480.013877,37.886224,-122.252351,267.89842445163174,24.2
1682790492.1265159,37.886301,-122.252253,268.05020998442467,30.8
1682790504.0078082,37.886138,-122.252,271.45394479092204,25.0
1682790516.319941,37.886093,-122.251956,274.26467067497447,24.2
1682790528.2944922,37.88606,-122.251928,274.30029591858425,27.6
1682790540.8023126,37.88606,-122.251928,274.697016443993,22.6
1682790553.1838994,37.88606,-122.251928,275.5940072690023,25.0
1682790565.3510845,37.88606,-122.251928,277.3054512525043,22.0
1682790577.6073246,37.88606,-122.251928,279.14015579793534,28.4
1682790589.7151635,37.88606,-122.251928,280.80350758461213,27.2
1682790602.179329,37.888311,-122.251591,282.6627386530372,24.2
1682790614.0553603,37.887701,-122.251283,271.3569321802786,30.0
1682790626.4959648,37.887386,-122.251311,283.5004393177719,28.0
1682790638.518921,37.887265,-122.251365,283.71880502187,30.2
1682790650.7461095,37.887166,-122.251255,283.73398357347423,27.0
1682790663.2305098,37.887409,-122.251415,284.3505457416936,29.8
1682790675.5052156,37.88757,-122.251571,284.24152250095426,22.2
1682790688.6945422,37.887303,-122.251126,284.0128103647769,25.4
1682790702.5154138,37.887101,-122.250763,283.9059970465465,30.8
1682790714.742485,37.88685,-122.250381,233.9939785227095,31.4
1682790726.7729442,37.886828,-122.250515,281.3758829216961,34.8
1682790739.0888512,37.886661,-122.250141,281.712831669465,28.6
1682790751.0891838,37.88645,-122.249848,281.29163163454643,40.6
1682790763.493828,37.88641,-122.24978,292.4360855585645,41.4
1682790775.881969,37.88641,-122.24978,296.1802498717612,33.6
1682790788.649915,37.88641,-122.24978,299.50416740520365,36.4
1682790800.8965702,37.887028,-122.2501,309.6212797435669,30.0
1682790813.2031214,37.887088,-122.249731,304.37419402583794,30.0
1682790825.5242238,37.887348,-122.250043,307.7799339415751,25.0
1682790837.7575002,37.887101,-122.250171,308.32701411173093,28.8
1682790850.3825233,37.886916,-122.250381,310.79211935299276,31.0
1682790862.49913,37.886876,-122.250608,311.24563602837804,30.4
1682790874.9017484,37.887013,-122.250553,312.53523087346537,34.2
1682790886.9842799,37.887141,-122.250358,314.59647909359217,35.8
1682790899.6041331,37.887168,-122.249846,315.6715143717474,32.2
1682790911.91937,37.887124,-122.249699,318.142589343605,28.8
1682790924.69525,37.887124,-122.249699,318.2856525439047,34.8
1682790937.1119678,37.887124,-122.249699,317.86272037538663,34.2
1682790949.4221451,37.887124,-122.249699,315.3175294624956,24.8
1682790962.0550606,37.887124,-122.249699,317.44109410478825,18.2
1682790974.449744,37.887124,-122.249699,319.67553578959394,16.0
1682790986.9726818,37.88668,-122.249483,318.0937502103068,13.4
1682790999.1859977,37.886793,-122.249708,321.78857422677413,15.8
1682791011.5728314,37.88686,-122.249933,310.822764684051,13.4
1682791023.9910033,37.886746,-122.250186,311.6024293191821,13.4
1682791036.4845808,37.886721,-122.250166,321.0928566220921,13.2
1682791049.0568779,37.886721,-122.250166,322.71012484521987,15.6
1682791061.3649032,37.886721,-122.250166,274.1268569296267,15.4
1682791073.9888942,37.886721,-122.250166,319.65678522080646,15.2
1682791086.4391913,37.886255,-122.249286,314.4365926706515,15.2
1682791099.141504,37.88622,-122.248901,207.4227706462143,19.4
1682791111.7985885,37.88622,-122.248901,171.34821959550965,16.4
1682791124.4769034,37.88622,-122.248901,273.6963259822441,15.4
1682791137.3160064,37.88622,-122.248901,340.4127643430876,15.8
1682791149.6700902,37.885631,-122.24785,329.3291422780996,13.8
1682791162.6373396,37.885595,-122.247666,329.9449393341213,16.6
1682791175.0182858,37.885593,-122.247365,329.74793224366545,14.4
1682791188.158239,37.885614,-122.247158,330.79666800917494,18.8
1682791200.6566794,37.885395,-122.246788,334.84963067708327,18.6
1682791213.344409,37.88491,-122.247041,317.90897185285854,17.4
1682791225.9401686,37.885358,-122.247003,333.866602064807,15.2
1682791238.5792966,37.885466,-122.246976,333.14247675486024,16.6
1682791251.0464044,37.885455,-122.246885,332.6731658187779,19.2
1682791263.4221196,37.88549,-122.246821,332.4582058961753,18.8
1682791276.0987165,37.885455,-122.246748,332.6605111848244,16.6
1682791288.406982,37.885486,-122.246783,332.35381571088294,17.8
1682791301.4593685,37.88554,-122.246796,332.5911187286582,17.4
1682791314.014087,37.885546,-122.246821,333.1083369667322,18.8
1682791326.3998644,37.88554,-122.246773,332.9628500595845,20.6
1682791339.0869863,37.885373,-122.246773,332.8906211038342,15.8
1682791351.4673846,37.88511,-122.246785,332.46183852254114,19.4
1682791364.1053915,37.884591,-122.246789,332.5683550925171,18.4
1682791376.362198,37.884506,-122.246865,334.09873637338205,16.6
1682791388.9712384,37.884548,-122.246851,335.1904948944406,17.6
1682791402.3876321,37.884601,-122.246863,335.1383422726308,20.8
1682791414.7437418,37.88461,-122.246828,335.232971212106,15.6
1682791427.4142263,37.884594,-122.246814,335.48572864619723,17.6
1682791440.0350518,37.884533,-122.246818,336.0958738549323,16.4
1682791452.8194916,37.884483,-122.246841,335.7866781949915,17.0
1682791465.4019997,37.884501,-122.246868,334.93149819503094,16.4
1682791477.9065814,37.884533,-122.246866,333.88116849501097,21.0
1682791490.5800478,37.885461,-122.246306,333.07706308394694,16.0
1682791503.3287706,37.88574,-122.246198,240.74566912224975,16.6
1682791516.0970454,37.885633,-122.246204,304.84708306071093,16.4
1682791528.48197,37.885453,-122.246188,291.39083116430606,21.8
1682791541.4564,37.884993,-122.246351,328.05052646765284,22.4
1682791554.4822624,37.88486,-122.24637,333.52661445238493,16.6
1682791566.9717426,37.884898,-122.24613,335.3281291072895,16.4
1682791579.636571,37.884848,-122.246128,336.54864856090705,17.2
1682791592.2600942,37.884875,-122.246033,338.36524863638124,16.4
1682791605.2162933,37.884738,-122.245874,336.4272097248453,20.2
1682791617.9951835,37.884729,-122.245868,339.9702937627883,17.2
1682791631.0083373,37.884729,-122.245868,340.4196506144263,18.4
1682791644.0852249,37.884729,-122.245868,340.68225672034214,17.6
1682791656.7753096,37.884729,-122.245868,340.7217762754549,14.8
1682791669.8826263,37.884729,-122.245868,340.8176209689178,15.4
1682791682.985472,37.884729,-122.245868,334.50181852188587,16.2
1682791695.8623323,37.884729,-122.245868,324.31067975032397,16.0
1682791708.8537307,37.884729,-122.245868,321.84928417330366,18.4
1682791721.5300817,37.884729,-122.245868,300.51436970807276,16.0
1682791734.7818177,37.884729,-122.245868,331.9541494871977,17.4
1682791747.5427415,37.884729,-122.245868,336.651415576093,14.6
1682791760.6400735,37.884729,-122.245868,334.7622959075171,17.2
1682791773.6402736,37.884729,-122.245868,329.2873271717127,14.6
1682791786.4925764,37.884729,-122.245868,225.540782071587,18.8
1682791799.6462336,37.884729,-122.245868,319.32959046431495,20.2
1682791812.302148,37.88396,-122.244683,325.34589121618853,20.8
1682791825.289572,37.883891,-122.244826,324.39172544953556,20.8
1682791838.165287,37.883873,-122.244991,322.82992608556634,19.0
1682791850.6938896,37.883931,-122.245243,321.9452112350307,17.0
1682791863.8538787,37.883606,-122.245328,312.04474313850744,22.6
1682791876.6665037,37.883496,-122.245075,312.9188404983554,29.6
1682791889.6354454,37.88347,-122.244945,312.79339735606106,32.8
1682791902.5399678,37.883291,-122.244555,315.09800589243207,28.6
1682791915.2863417,37.883271,-122.244535,318.4487281560017,24.2
1682791928.1914074,37.883318,-122.244631,312.9793430288227,28.0
1682791940.8876095,37.883591,-122.244841,312.5080756021855,22.2
1682791953.9099517,37.883645,-122.244831,312.2920296719568,26.4
1682791967.0644717,37.883696,-122.244696,312.1730288596284,21.2
1682791979.8018923,37.883573,-122.244661,312.8186324024224,24.4
1682791993.053279,37.883376,-122.24465,291.4067794956334,20.6
1682792006.1389956,37.883293,-122.24467,188.98340560768207,24.2
1682792019.0625882,37.88323,-122.244479,129.71193802140624,26.0
1682792032.3796344,37.88323,-122.244479,186.1248331444363,31.2
1682792045.4580033,37.88323,-122.244479,302.93738983370224,30.6
1682792058.6873617,37.88323,-122.244479,322.6719682629286,28.2
1682792071.9737568,37.88323,-122.244479,325.2191775649105,22.8
1682792085.0907261,37.88323,-122.244479,327.6685210639903,28.8
1682792098.2506914,37.88323,-122.244479,328.8101250907009,28.0
1682792111.1433384,37.88323,-122.244479,331.29947022063607,19.2
1682792124.5587227,37.88323,-122.244479,332.46591140194255,18.8
1682792137.9215221,37.88323,-122.244479,333.39286277388845,22.8
1682792150.964742,37.88323,-122.244479,332.90094960309534,19.6
1682792164.4587471,37.88323,-122.244479,334.44248339310144,29.0
1682792177.5230062,37.88323,-122.244479,336.3305879421747,22.0
1682792190.8747466,37.88323,-122.244479,337.55137370493026,25.6
1682792204.2184582,37.88323,-122.244479,337.6975371374479,23.2
1682792217.1570811,37.88323,-122.244479,334.58308179826463,29.6
1682792230.5787675,37.88323,-122.244479,335.94853970731106,29.2
1682792244.1298323,37.88323,-122.244479,338.2895942259664,32.8
1682792257.4117239,37.88323,-122.244479,340.98057220890325,26.8
1682792270.800786,37.88323,-122.244479,342.958823361079,26.4
1682792284.190766,37.88323,-122.244479,341.7003082790187,25.8
1682792298.5979338,37.88323,-122.244479,344.15415490605835,31.6
1682792313.28537,37.88323,-122.244479,344.15704759083883,23.6
1682792326.4616356,37.88323,-122.244479,345.6253448932541,27.2
1682792340.3582287,37.88323,-122.244479,347.4388436927385,27.4
1682792353.8997054,37.88323,-122.244479,347.5649796496735,26.8
1682792366.9777255,37.88323,-122.244479,348.01134271775516,37.2
1682792380.4362926,37.88323,-122.244479,348.160410806172,44.2
1682792393.7348068,37.88323,-122.244479,346.35208354178303,40.6
1682792407.3198338,37.88323,-122.244479,348.3720131509315,35.4
1682792420.8601756,37.88323,-122.244479,349.32739130840866,23.4
1682792434.2067091,37.88323,-122.244479,350.99036743873546,22.2
1682792447.7879674,37.88323,-122.244479,352.0971017526883,26.0
1682792461.390386,37.88323,-122.244479,352.3774905371371,27.4
1682792474.8889244,37.88323,-122.244479,343.3740830472954,31.4
1682792488.488889,37.88323,-122.244479,352.2041614711593,28.0
