PM 1.0,PM 2.5,PM 10,temperature,gas,pressure,altitude,relative humidity,time
0,0,0,19.7503125,175945,997.1030401008436,135.31023194171286,21.26093107220846,1677108621.7250092
0,1,2,19.8378125,174661,997.1129717918375,135.2264616003761,21.234865222782663,1677108622.9175386
0,1,2,19.9305859375,175026,997.1194513676685,135.17180900772053,21.214344281258114,1677108624.1100905
0,1,2,20.0399609375,175761,997.1204223758423,135.16361897259412,21.17392139192377,1677108625.302574
0,1,2,20.138984375,175393,997.1215310432452,135.15426784914374,21.117199493745623,1677108626.4962106
0,1,2,20.231171875,177061,997.128661524533,135.09412556701332,21.049628231100243,1677108627.6892617
0,1,2,20.339765625,176874,997.1229407828611,135.14237732573767,20.972618255333863,1677108628.882463
0,1,2,20.4532421875,177813,997.1270664470959,135.10757927059353,20.880267594189093,1677108630.0759628
0,1,2,20.550703125,177813,997.1253885446811,135.12173158145134,20.792208358569095,1677108631.2687335
0,1,2,20.64953125,178381,997.1311975712509,135.07273528038283,20.704263942988103,1677108632.4623158
0,1,2,20.7633984375,177813,997.1323251001132,135.06322515207694,20.61203644278529,1677108633.655617
0,1,2,20.8712109375,178381,997.1407893545938,134.9918337799055,20.514277205986165,1677108634.849121
0,1,2,20.981953125,177625,997.1383437067594,135.0124614357126,20.421934987722363,1677108636.0424213
0,1,2,21.079609375,180496,997.1420158408188,134.98148907793257,20.30805746227162,1677108637.2357242
0,1,2,21.1673046875,179336,997.1465354208931,134.94336912281466,20.209249959494475,1677108638.4292307
0,1,2,21.2450390625,179144,997.1624183004959,134.80940764137176,20.11510251023308,1677108639.622593
0,2,4,21.3149609375,183060,997.1652474901244,134.78554549772673,20.010168537812195,1677108640.815886
0,2,4,21.383515625,180301,997.1762819484721,134.6924784422559,19.9155897016473,1677108642.008518
0,2,4,21.4395703125,183461,997.1787099701577,134.67200008376585,19.82033927053517,1677108643.2011392
0,2,4,21.4946484375,182462,997.1829987525036,134.63582784387546,19.73026637884197,1677108644.3936586
0,2,4,21.542109375,179721,997.195590839244,134.52962500495218,19.650156584926965,1677108645.5858042
0,2,4,21.57609375,183662,997.2049700521751,134.45052055027742,19.57448839941275,1677108646.778499
0,2,4,21.610859375,183260,997.2016343837263,134.4786535704071,19.493732916110304,1677108647.9712312
0,2,4,21.635859375,181670,997.1995274269215,134.49642367858462,19.43830129068087,1677108649.164699
0,2,4,21.65109375,184268,997.1898936661787,134.57767536166986,19.372006543576294,1677108650.3576035
0,1,3,21.6716015625,180886,997.1855473126603,134.6143329611742,19.30088076429523,1677108651.5497487
0,1,3,21.6899609375,183864,997.1828724739894,134.63689289418863,19.26062842945337,1677108652.742226
0,1,3,21.716328125,182065,997.1777793407642,134.67984916965932,19.205362160923983,1677108653.934937
0,1,3,21.742890625,185083,997.1660001781835,134.77919713412203,19.160439322388385,1677108655.1273377
0,1,3,21.7868359375,182860,997.1691786808015,134.75238887287125,19.13196926163372,1677108656.3230329
0,1,3,21.8266796875,184879,997.1707685399666,134.73897964140153,19.108426567001278,1677108657.515924
0,1,2,21.85421875,186318,997.1728684582952,134.7212684822118,19.099660021665567,1677108658.7084827
0,1,2,21.8895703125,185288,997.1669588321769,134.77111160676762,19.060404941517252,1677108659.9008832
0,1,2,21.93390625,185905,997.1655031248933,134.78338940826666,19.05773239184989,1677108661.0934806
0,1,2,21.960078125,186318,997.1530429504887,134.88848224806327,19.05404321939478,1677108662.2853413
0,1,2,21.9926953125,185493,997.1460629023626,134.94735452749694,19.009486838146586,1677108663.4781358
0,1,2,22.005,185588,997.1455379078179,134.95178253703725,18.97411063290329,1677108664.6713552
0,1,2,22.0346875,185484,997.1301623113843,135.08146717464604,18.92426262760062,1677108665.8647137
0,1,2,22.0700390625,185484,997.1207147320789,135.16115307510364,18.874744421708282,1677108667.0590894
0,1,2,22.1102734375,185484,997.1229034877198,135.14269189340644,18.85638975712118,1677108668.251639
0,1,2,22.138203125,186734,997.1343843233047,135.04585668189267,18.806476664970134,1677108669.444471
0,1,2,22.13625,186428,997.1311296521496,135.07330814348282,18.744641463504728,1677108670.6387837
0,1,2,22.1419140625,186323,997.1300494843147,135.08241881445642,18.71924403654634,1677108671.8312826
0,1,2,22.1548046875,186640,997.1287391923884,135.09347047681595,18.69939052602152,1677108673.024378
0,1,2,22.1934765625,186323,997.1388296848593,135.00836248213162,18.6706795435276,1677108674.2183964
0,1,2,22.240546875,187383,997.1366078318766,135.02710258309637,18.662992159665603,1677108675.4113793
0,0,0,22.28546875,186746,997.136056861353,135.03174971994648,18.61920965974118,1677108676.6046698
0,0,0,22.2950390625,187918,997.1344668762216,135.0451603918411,18.59918240518703,1677108677.7979696
0,0,0,22.3426953125,186640,997.1349531120957,135.04105925116662,18.570973872168373,1677108678.9913535
0,0,0,22.3753125,188025,997.1436967427139,134.96731165932394,18.541942516499347,1677108680.1842544
0,0,0,22.426875,187811,997.1383969606227,135.0120122690671,18.519087975126414,1677108681.3779366
0,0,0,22.4673046875,188455,997.1426040230941,134.97652810426422,18.50075959374996,1677108682.571422
0,0,0,22.5315625,187490,997.1549207174639,134.87264453140259,18.478600217573273,1677108683.7653058
0,0,0,22.614375,186640,997.1612840753495,134.8189740156633,18.462590522591608,1677108684.9587042
0,0,0,22.696796875,186112,997.1599497426241,134.8302281649019,18.42601716190415,1677108686.152145
0,0,0,22.785078125,185693,997.1560583821775,134.86304909726599,18.379496359923948,1677108687.3457904
0,0,0,22.87453125,185493,997.1611032159798,134.8204994353334,18.33817534054476,1677108688.5392814
